年月日等,件名,備考
（令和6年6月12日）,令和６年中に相続等により取得した原子力発電所周辺の避難指示区域内に存する土地等の評価について（法令解釈通達）, ,"（令和6年6月11日）
	    （令和6年6月25日付改正分まで更新）",令和6年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達）,"一部改正通達
（令和6年6月25日付通達［4月分］まで掲載）"
（令和6年6月12日）,令和６年中に相続等により取得した原子力発電所周辺の避難指示区域内に存する土地等の評価について（法令解釈通達）, 
"（令和6年6月11日）
	    （令和6年6月25日付改正分まで更新）",令和6年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達）,"一部改正通達
（令和6年6月25日付通達［4月分］まで掲載）"
（令和6年5月22日）,令和6年分の基準年利率について（法令解釈通達）, 
（令和5年9月28日）,居住用の区分所有財産の評価について（法令解釈通達）, 
（令和5年6月8日）,令和５年中に相続等により取得した原子力発電所周辺の避難指示区域内に存する土地等の評価について（法令解釈通達）, 
"（令和5年6月9日）
	    （令和6年1月12日付改正分まで更新）",令和５年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達）,"一部改正通達
（令和6年1月12日付通達［12月分］まで掲載）"
"（令和5年6月8日）
        （令和6年1月10日付改正分まで更新）",令和５年分の基準年利率について（法令解釈通達）,"一部改正通達
（令和6年1月10日付通達［12月分］まで掲載）"
（令和4年5月24日）,令和4年中に相続等により取得した原子力発電所周辺の避難指示区域内に存する土地等の評価について（法令解釈通達）, 
"（令和4年6月6日）
	      （令和5年1月13日付改正分まで更新）",令和４年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達）,"一部改正通達
（令和5年1月13日付通達［12月分］まで掲載）"
"（令和4年5月24日）
        （令和5年1月6日付改正分まで更新）",令和4年分の基準年利率について（法令解釈通達）,"一部改正通達
（令和5年1月6日付通達［12月分］まで掲載）"
（令和3年5月31日）,令和3年中に相続等により取得した原子力発電所周辺の避難指示区域内に存する土地等の評価について（法令解釈通達）, 
"（令和3年6月7日）
          （令和4年1月14日付改正分まで更新）",令和3年分の類似業種比準価額計算上の業種目及び業種目別株価等について（法令解釈通達）,"一部改正通達
  （令和4年1月14日付通達［12月分］まで掲載）"
